;codigo_VU;raz_social;nombre;rubro;ciiu6;ciiu4;region;provincia;comuna;coord_este;coord_norte;huso;COD_FUENTE;fuente_emision;COMBUSTIBLE PRIMARIO;EMISION PRIMARIO;COMBUSTIBLE SECUNDARIO;EMISION SECUNDARIO;EMISION MATERIA PRIMA;tipo_contaminante;ton_emision;ORIGEN;Longitud;Latitud
31997;2482;NESTLE CHILE SA;NESTLE CHILE SA;Otras industrias manufactureras;Elaboración de productos lácteos;Elaboración de productos lácteos;Libertador Gral. Bernardo O'Higgins;Cachapoal;Graneros;340677,0;6228964,0;19,0;IN-GEV-21269;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,2428656492717;Petróleo N 2 (Diesel);0,0;0,0;Volatile organic compounds (VOC);0,2428656492717;RUEA;-70,7265270214724;-34,06795794885034
32078;3224;ORIZON S A;PLANTA PONIENTE ORIZON;Pesca y Acuicultura;Pesca marítima industrial, excepto de barcos factoría;Pesca marítima;Biobío;Concepción;Coronel;663344,0;5901029,0;18,0;IN-GEV-17104;Caldera Industrial (Generadora de Vapor o Agua Caliente);Petróleo N 6;0,24278574096996;Petróleo N 2 (Diesel);0,0;0,0;Ammonia;0,24278574096996;RUEA;-73,16372080184395;-37,022736424977516
32102;5441910;CAMANCHACA PESCA SUR S.A.;PLANTA CORONEL;Otras industrias manufactureras;Elaboración y conservación de crustáceos, moluscos y otros productos acuáticos, en plantas en tierra;Elaboración y conservación de pescado, crustáceos y moluscos;Biobío;Concepción;Coronel;664349,0;5900893,0;18,0;IN-GEV-2384;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,10662491578616;Petróleo N 6;0,13491493337329;0,0;PM2.5, primary;0,24153984915944998;RUEA;-73,15239844888802;-37,02378640852268
32113;5453818;GASATACAMA CHILE S.A.;CENTRAL ATACAMA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;354735,0;7445744,0;19,0;TG-GEV-6268;Turbina de Gas;Gas Natural;0,39219822741646;Petróleo N 2 (Diesel);0,083834912562485;0,0;Sulfur dioxide;0,24098515883088;Impuesto Verde;-70,41832254691299;-23,09061396579545
32145;4591939;SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO;HOSPITAL DE NINOS DR ROBERTO DEL RIO;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Metropolitana de Santiago;Santiago;Independencia;346140,0;6301214,0;19,0;CA-OR-31411;Caldera Agua Caliente;Gas Natural;0,24006780053663;Gas Natural;0,0;0,0;Carbon monoxide;0,24006780053663;RUEA;-70,65478909547816;-33,41740579181448
32168;1967;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Otras industrias manufactureras;Fabricación de vidrio hueco;Fabricación de vidrio y productos de vidrio;Metropolitana de Santiago;Santiago;Cerrillos;342418,0;6294111,0;19,0;HR-PDV-1710;Horno de Fusión;Gas Natural;0,239242032776;Petróleo N 2 (Diesel);0,0;0,0;Volatile organic compounds (VOC);0,239242032776;RUEA;-70,69605107213812;-33,480904402931245
32188;4803700;CORP NACIONAL DEL COBRE DE CHILE;DIVISIÓN CHUQUICAMATA;Fundiciones de cobre;Extracción y procesamiento de cobre;Extracción y procesamiento de cobre;Antofagasta;El Loa;Calama;511801,0;7532284,0;19,0;HR-PPM-8553;Horno de Refino;Gas Natural;0,23860882615685;Petróleo N 6;0,0;0,0;PM, primary;0,23860882615685;RUEA;-68,88541746483122;-22,315160865017884
32192;1949616;COMUNIDAD EDIFICIO DON EULOGIO VI  LLARRICA;COMUNIDAD EDIFICIO DON EULOGIO;Otras actividades;Servicios imputados de alquiler de viviendas;Actividades inmobiliarias realizadas con bienes propios o arrendados;La La Araucanía;Cautín;Villarrica;739466,0;5648048,0;18,0;CA-OR-24915;Caldera Agua Caliente;Leña;0,23851206056563;Leña;0,0;0,0;Nitrogen oxides (NOx);0,23851206056563;RUEA;-72,22362986966162;-39,28385344224371
32196;6750;TRESMONTES S.A;TRESMONTES COMPLEJO CASABLANCA;Otras industrias manufactureras;Elaboración de otros productos alimenticios n.c.p.;Elaboración de otros productos alimenticios n.c.p.;Valparaíso;Valparaíso;Casablanca;277366,0;6309597,0;19,0;IN-GEV-14448;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0;Petróleo N 6;0,23837650880603;0,0;Nitrogen oxides (NOx);0,23837650880603;RUEA;-71,39191957009754;-33,32979212506289
32203;2444;EMPRESA NACIONAL DE MINERIA;FUNDICION  HERNAN  VIDELA  LIRA;Fundiciones de cobre;Fabricación de productos primarios de metales preciosos y de otros metales no ferrosos n.c.p.;Fabricación de productos primarios de metales preciosos y otros metales no ferrosos;Atacama;Copiapó;Copiapó;375542,0;6966291,0;19,0;CV-PPM-1042;Convertidor Pierce Smith (CPS);Petróleo N 6;0,23826612368566;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,23826612368566;RUEA;-70,25909037342525;-27,42111646005231
32218;6750;TRESMONTES S.A;TRESMONTES COMPLEJO CASABLANCA;Otras industrias manufactureras;Elaboración de otros productos alimenticios n.c.p.;Elaboración de otros productos alimenticios n.c.p.;Valparaíso;Valparaíso;Casablanca;277366,0;6309597,0;19,0;IN-GEV-14448;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,21220347404572;Petróleo N 6;0,025359203064472;0,0;Carbon monoxide;0,237562677110192;RUEA;-71,39191957009754;-33,32979212506289
32219;9899;CLINICA LAS CONDES S A;CLINICA LAS CONDES;Otras actividades;Actividades de hospitales y clínicas privadas;Actividades de hospitales públicos y privados;Metropolitana de Santiago;Santiago;Las Condes;357665,0;6305112,0;19,0;CA-OR-23973;Caldera Agua Caliente;Gas Natural;0,23755443209797;Petróleo N 2 (Diesel);0,0;0,0;Carbon monoxide;0,23755443209797;RUEA;-70,53025959451627;-33,38385061598127
32234;5258;HOSPITAL DE CARABINEROS;HOSP. DE CARABINEROS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Metropolitana de Santiago;Santiago;Ñuñoa;350942,0;6297176,0;19,0;CA-OR-29523;Caldera Agua Caliente;Gas Natural;0,23692234652216;Petróleo N 2 (Diesel);0,0;0,0;Volatile organic compounds (VOC);0,23692234652216;RUEA;-70,60383051172383;-33,45449131857642
32288;5452292;EMPRESA ELECTRICA ANGAMOS S.A.;CENTRAL TERMOELÉCTRICA ANGAMOS;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;359788,0;7448232,0;19,0;CG-GEV-4651;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;0,20672341181019;Petróleo N 2 (Diesel);0,028530102001101;0,0;Ammonia;0,235253513811291;RUEA;-70,36877020018875;-23,068580818779544
32294;669;SOCIEDAD PESQUERA LANDES SOCIEDAD ANONIMA;PESQUERA LANDES ISLA ROCUANT;Otras industrias manufactureras;Producción de harina de pescado;Elaboración y conservación de pescado, crustáceos y moluscos;Biobío;Concepción;Talcahuano;669341,0;5933563,0;18,0;IN-GEV-8341;Caldera Industrial (Generadora de Vapor o Agua Caliente);Petróleo N 6;0,23039577858224;Petróleo N 2 (Diesel);0,0044566587034899;0,0;PM2.5, primary;0,2348524372857299;RUEA;-73,10360010969495;-36,728554311314475
32299;5462131;SOC MADERERA LEONESA LTDA;SOC MADERERA LEONESA LTDA;Industria de la madera y Silvicultura;Aserrado y acepilladura de madera;Aserrado y acepilladura de madera;Ñuble;Diguillín;Chillán Viejo;753449,0;5942669,0;18,0;CA-OR-14345;Caldera Agua Caliente;Leña;0,15513563325864;Leña;0,079532993956835;0,0;Carbon monoxide;0,234668627215475;RUEA;-72,1655840231683;-36,62784256246721
32315;2483;NESTLE CHILE SA;FABRICA LOS ANGELES;Otras industrias manufactureras;Elaboración de productos lácteos;Elaboración de productos lácteos;Biobío;Biobío;Los Angeles;734132,0;5848000,0;18,0;IN-GEV-14373;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,2340348791324;Petróleo N 6;0,0;0,0;Volatile organic compounds (VOC);0,2340348791324;RUEA;-72,35191780778894;-37,48525998987833
32327;5462678;FORESTAL ARAUCO S.A.;VIVERO HORCONES;Industria de la madera y Silvicultura;Explotación de viveros forestales;Silvicultura y otras actividades forestales;Biobío;Arauco;Arauco;657811,0;5880927,0;18,0;CA-OR-16735;Caldera Agua Caliente;Gas Licuado de Petróleo;0,23356223171907;Gas Licuado de Petróleo;0,0;0,0;Carbon monoxide;0,23356223171907;RUEA;-73,22166214275202;-37,20479975952677
32354;3522;CMPC PULP SPA;CMPC CELULOSA PLANTA SANTA FE;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Biobío;Nacimiento;707640,0;5845494,0;18,0;HR-PCL-21553;Horno de Cal;Petróleo N 6;0,23258049018637;Propano;0,0;0,0;Sulfur dioxide;0,23258049018637;RUEA;-72,65059528612598;-37,51416427062651
32402;322348;EMBOTELLADORAS CHILENAS UNIDAS S.A;EMBOTELLADORAS CHILENAS UNIDAS SA;Otras industrias manufactureras;Elaboración de bebidas no alcohólicas;"Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas";Metropolitana de Santiago;Santiago;Renca;343800,0;6301854,0;19,0;IN-GEV-21632;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,23122113687884;Petróleo N 2 (Diesel);0,00059844741957509;0,0;PM10, primary;0,2318195842984151;RUEA;-70,67983569629445;-33,41129740325615
32405;3224;ORIZON S A;PLANTA PONIENTE ORIZON;Pesca y Acuicultura;Pesca marítima industrial, excepto de barcos factoría;Pesca marítima;Biobío;Concepción;Coronel;663344,0;5901029,0;18,0;IN-GEV-17890;Caldera Industrial (Generadora de Vapor o Agua Caliente);Petróleo N 6;0,23167944142261;Petróleo N 2 (Diesel);0,0;0,0;Ammonia;0,23167944142261;RUEA;-73,16372080184395;-37,022736424977516
32406;322348;EMBOTELLADORAS CHILENAS UNIDAS S.A;EMBOTELLADORAS CHILENAS UNIDAS SA;Otras industrias manufactureras;Elaboración de bebidas no alcohólicas;"Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas";Metropolitana de Santiago;Santiago;Renca;343800,0;6301854,0;19,0;IN-GEV-21632;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,23122113687884;Petróleo N 2 (Diesel);0,00040330152188756;0,0;PM2.5, primary;0,23162443840072755;RUEA;-70,67983569629445;-33,41129740325615
32416;245308;FORESTAL RIO CLARO LIMITADA;FORESTAL RIO CLARO LIMITADA;Industria de la madera y Silvicultura;Aserrado y acepilladura de madera;Aserrado y acepilladura de madera;Maule;Talca;Maule;256364,0;6064596,0;19,0;CA-OR-22708;Caldera Agua Caliente;Leña;0,23128625469985;Biomasa Combustible;0,0;0,0;Volatile organic compounds (VOC);0,23128625469985;RUEA;-71,68713445528306;-35,532359264468404
32418;102426;CERVECERA CCU CHILE LIMITADA;CERVECERA CCU CHILE LIMITADA;Otras industrias manufactureras;Elaboración de bebidas malteadas y de malta;Elaboración de bebidas malteadas y de malta;La La Araucanía;Cautín;Vilcún;719477,0;5718502,0;18,0;IN-GEV-17110;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,23122819781711;Petróleo N 2 (Diesel);0,0;0,0;PM10, primary;0,23122819781711;RUEA;-72,47777070835026;-38,65488056827723
32419;102426;CERVECERA CCU CHILE LIMITADA;CERVECERA CCU CHILE LIMITADA;Otras industrias manufactureras;Elaboración de bebidas malteadas y de malta;Elaboración de bebidas malteadas y de malta;La La Araucanía;Cautín;Vilcún;719477,0;5718502,0;18,0;IN-GEV-17110;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,23122819781711;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,23122819781711;RUEA;-72,47777070835026;-38,65488056827723
32420;102426;CERVECERA CCU CHILE LIMITADA;CERVECERA CCU CHILE LIMITADA;Otras industrias manufactureras;Elaboración de bebidas malteadas y de malta;Elaboración de bebidas malteadas y de malta;La La Araucanía;Cautín;Vilcún;719477,0;5718502,0;18,0;IN-GEV-17110;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,23122819781711;Petróleo N 2 (Diesel);0,0;0,0;PM, primary;0,23122819781711;RUEA;-72,47777070835026;-38,65488056827723
32421;322348;EMBOTELLADORAS CHILENAS UNIDAS S.A;EMBOTELLADORAS CHILENAS UNIDAS SA;Otras industrias manufactureras;Elaboración de bebidas no alcohólicas;"Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas";Metropolitana de Santiago;Santiago;Renca;343800,0;6301854,0;19,0;IN-GEV-21632;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,23122113687884;Petróleo N 2 (Diesel);0,0;0,0;PM, primary;0,23122113687884;RUEA;-70,67983569629445;-33,41129740325615
32485;245367;ORAFTI CHILE S A;ORAFTI CHILE S A;Otras industrias manufactureras;Elaboración de otros productos alimenticios n.c.p.;Elaboración de otros productos alimenticios n.c.p.;Ñuble;Diguillín;Pemuco;736678,0;5911440,0;18,0;IN-GEV-17154;Caldera Industrial (Generadora de Vapor o Agua Caliente);Biomasa Combustible;17,501572612656;Carbón Bituminoso;0,0;0,0;Sulfur dioxide;0,22883612609667;Impuesto Verde;-72,34325998925291;-36,91337606097525
32488;11643;AGUAS ANDINAS S A;PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS LA FARFANA;Plantas de tratamiento de aguas servidas;Evacuación y tratamiento de aguas servidas;Evacuación de aguas residuales;Metropolitana de Santiago;Santiago;Maipú;333087,0;6295959,0;19,0;CA-OR-10685;Caldera Agua Caliente;Gas Natural;0,22882860414051;Petróleo N 2 (Diesel);0,0;0,0;PM10, primary;0,22882860414051;RUEA;-70,79609472636203;-33,46282941620532
32489;11643;AGUAS ANDINAS S A;PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS LA FARFANA;Plantas de tratamiento de aguas servidas;Evacuación y tratamiento de aguas servidas;Evacuación de aguas residuales;Metropolitana de Santiago;Santiago;Maipú;333087,0;6295959,0;19,0;CA-OR-10685;Caldera Agua Caliente;Gas Natural;0,22882860414051;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,22882860414051;RUEA;-70,79609472636203;-33,46282941620532
32490;11643;AGUAS ANDINAS S A;PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS LA FARFANA;Plantas de tratamiento de aguas servidas;Evacuación y tratamiento de aguas servidas;Evacuación de aguas residuales;Metropolitana de Santiago;Santiago;Maipú;333087,0;6295959,0;19,0;CA-OR-10685;Caldera Agua Caliente;Gas Natural;0,22882860414051;Petróleo N 2 (Diesel);0,0;0,0;PM, primary;0,22882860414051;RUEA;-70,79609472636203;-33,46282941620532
32516;5441787;ENGIE ENERGIA CHILE S.A.;CENTRAL TERMICA TOCOPILLA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Tocopilla;Tocopilla;374777,0;7556040,0;19,0;TG-GEV-9944;Turbina de Gas;Gas Natural;0,22766906885259;Petróleo N 2 (Diesel);0,00030858958221578;0,0;Volatile organic compounds (VOC);0,22797765843480577;RUEA;-70,21390995012625;-22,096073044593545
32579;6760;ENAP REFINERIAS S A;EMPRESA NACIONAL DEL PETRÓLEO (ENAP);Refinería de petróleo;Fabricación de productos de la refinación del petróleo;Fabricación de productos de la refinación del petróleo;Valparaíso;Valparaíso;Concón;265599,0;6354307,0;19,0;AN-RYP-9546;Antorcha;Gas Natural;0,2271556639097;Gas de Refinería;0,0;0,0;Volatile organic compounds (VOC);0,2271556639097;RUEA;-71,50675531085395;-32,9243901043317
32592;4803700;CORP NACIONAL DEL COBRE DE CHILE;DIVISIÓN CHUQUICAMATA;Fundiciones de cobre;Extracción y procesamiento de cobre;Extracción y procesamiento de cobre;Antofagasta;El Loa;Calama;511801,0;7532284,0;19,0;HR-PPM-8551;Horno de Refino;Gas Natural;0,22660803112095;Petróleo N 6;0,0;0,0;PM, primary;0,22660803112095;RUEA;-68,88541746483122;-22,315160865017884
32605;4585770;SQM INDUSTRIAL S.A.;FAENA COYA SUR;Industria química, del plástico y caucho;Fabricación de abonos y compuestos de nitrógeno;Fabricación de abonos y compuestos de nitrógeno;Antofagasta;Tocopilla;María Elena;436137,0;7522880,0;19,0;IN-GEV-10584;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,22589302516145;Petróleo N 6;0,0;0,0;Ammonia;0,22589302516145;RUEA;-69,62044437559483;-22,398968317291253
32618;2007;PANIFICADORA LAS LOMAS DE MAIPU LIMITADA;PANADERIA LAS LOMAS;Otras industrias manufactureras;Elaboración de productos de panadería y pastelería;Elaboración de productos de panadería;Metropolitana de Santiago;Santiago;Cerrillos;339729,0;6291564,0;19,0;HR-OR-725;Horno de Panadería;Aserrín;0,22530254168338;Petróleo N 2 (Diesel);0,0;0,0;Nitrogen oxides (NOx);0,22530254168338;RUEA;-70,72543687819535;-33,503467654566116
32620;2059;CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.;PLANTA 1 CIAL;Otras industrias manufactureras;Elaboración y conservación de carne y productos cárnicos;Elaboración y conservación de carne;Metropolitana de Santiago;Santiago;Pudahuel;335762,0;6303984,0;19,0;IN-GEV-25213;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,21840825398858;Petróleo N 2 (Diesel);0,0067758992252614;0,0;Carbon monoxide;0,2251841532138414;RUEA;-70,76585598839876;-33,39089401585678
32624;5463833;KELAR S.A.;CENTRAL A GAS CICLO COMBINADO KELAR;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;359951,0;7449541,0;19,0;TG-GEV-2976;Turbina de Gas;Gas Natural;0,22493759774512;Petróleo N 2 (Diesel);0,0;0,0;Toluene;0,22493759774512;RUEA;-70,36705988460457;-23,05677328599096
32636;4585770;SQM INDUSTRIAL S.A.;FAENA COYA SUR;Industria química, del plástico y caucho;Fabricación de abonos y compuestos de nitrógeno;Fabricación de abonos y compuestos de nitrógeno;Antofagasta;Tocopilla;María Elena;436137,0;7522880,0;19,0;IN-GEV-10608;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,22458546064914;Petróleo N 6;0,0;0,0;Volatile organic compounds (VOC);0,22458546064914;RUEA;-69,62044437559483;-22,398968317291253
32640;10210;CLINICA ALEMANA DE SANTIAGO S A;CLINICA ALEMANA DE SANTIAGO S.A.;Otras actividades;Actividades de hospitales y clínicas privadas;Actividades de hospitales públicos y privados;Metropolitana de Santiago;Santiago;Vitacura;353599,0;6304195,0;19,0;CA-OR-27159;Caldera Agua Caliente;Gas Natural;0,22301751908899;Petróleo N 2 (Diesel);0,001426505100055;0,0;Carbon monoxide;0,224444024189045;RUEA;-70,57410849342273;-33,391572060896785
32652;5452711;ENAP REFINERIAS S A;PLANTA DE REGASIFICACION PEMUCO;Comercio mayorista;Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos;Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos;Ñuble;Diguillín;Pemuco;737304,0;5914082,0;18,0;CA-OR-11057;Caldera Agua Caliente;Gas Natural;0,2240826564331;Gas Natural;0,0;0,0;Carbon monoxide;0,2240826564331;RUEA;-72,33706735989009;-36,88942802924155
32666;3006;EMPRESAS CAROZZI S A;PLANTA AGROZZI TENO;Otras industrias manufactureras;Elaboración y conservación de frutas, legumbres y hortalizas;Elaboración y conservación de frutas, legumbres y hortalizas;Maule;Curicó;Teno;304204,0;6138665,0;19,0;IN-GEV-18011;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,22353462629361;Petróleo N 6;0,0;0,0;Volatile organic compounds (VOC);0,22353462629361;RUEA;-71,14225762327561;-34,87554345668377
32680;343;CONTENEDORES SAN FERNANDO SPA;CARTONES SAN FERNANDO SPA;Industria del papel y celulosa;Fabricación de papel y cartón ondulado y de envases de papel y cartón;Fabricación de papel y cartón ondulado y de envases de papel y cartón;Libertador Gral. Bernardo O'Higgins;Colchagua;San Fernando;320849,0;6175668,0;19,0;IN-GEV-5886;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,22307585762032;Petróleo N 2 (Diesel);0,0;0,0;PM10, primary;0,22307585762032;RUEA;-70,95238357969961;-34,54512242968061
32681;343;CONTENEDORES SAN FERNANDO SPA;CARTONES SAN FERNANDO SPA;Industria del papel y celulosa;Fabricación de papel y cartón ondulado y de envases de papel y cartón;Fabricación de papel y cartón ondulado y de envases de papel y cartón;Libertador Gral. Bernardo O'Higgins;Colchagua;San Fernando;320849,0;6175668,0;19,0;IN-GEV-5886;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,22307585762032;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,22307585762032;RUEA;-70,95238357969961;-34,54512242968061
32682;343;CONTENEDORES SAN FERNANDO SPA;CARTONES SAN FERNANDO SPA;Industria del papel y celulosa;Fabricación de papel y cartón ondulado y de envases de papel y cartón;Fabricación de papel y cartón ondulado y de envases de papel y cartón;Libertador Gral. Bernardo O'Higgins;Colchagua;San Fernando;320849,0;6175668,0;19,0;IN-GEV-5886;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,22307585762032;Petróleo N 2 (Diesel);0,0;0,0;PM, primary;0,22307585762032;RUEA;-70,95238357969961;-34,54512242968061
32701;9899;CLINICA LAS CONDES S A;CLINICA LAS CONDES;Otras actividades;Actividades de hospitales y clínicas privadas;Actividades de hospitales públicos y privados;Metropolitana de Santiago;Santiago;Las Condes;357665,0;6305112,0;19,0;CA-OR-23955;Caldera Agua Caliente;Gas Natural;0,22260623081849;Petróleo N 2 (Diesel);0,0;0,0;Carbon monoxide;0,22260623081849;RUEA;-70,53025959451627;-33,38385061598127
32714;4587176;ACONCAGUA FOODS S.A.;ACONCAGUA FOODS S.A;Otras industrias manufactureras;Elaboración y conservación de frutas, legumbres y hortalizas;Elaboración y conservación de frutas, legumbres y hortalizas;Metropolitana de Santiago;Maipo;Buin;339656,0;6265909,0;19,0;IN-GEV-7274;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,22219658659308;Petróleo N 2 (Diesel);0,0;0,0;Volatile organic compounds (VOC);0,22219658659308;RUEA;-70,73084160858885;-33,73474578660146
32718;6922;SERVICIO DE SALUD DEL MAULE HOSPITAL DE LINARES;HOSPITAL DE LINARES;Otras actividades;Otros servicios de atención de la salud humana prestados por empresas;Otras actividades de atención de la salud humana;Maule;Linares;Linares;266016,0;6030201,0;19,0;CA-OR-21891;Caldera Agua Caliente;Petróleo N 2 (Diesel);0,22207232265515;Petróleo N 2 (Diesel);4,0740985657572e-05;0,0;PM10, primary;0,22211306364080757;RUEA;-71,59078348453833;-35,84448640692326
32727;386239;ANGLO AMERICAN SUR S.A.;ANGLO AMERICAN SUR S.A.;Fundiciones de cobre;Fundición de metales no ferrosos;Fundición de metales no ferrosos;Valparaíso;San Felipe de Aconcagua;Catemu;316996,0;6369240,0;19,0;HR-PPM-7583;Horno de Refino;Gas Natural;0,22189862877386;Petróleo N 2 (Diesel);0,0;0,0;PM10, primary;0,22189862877386;RUEA;-70,95446045686269;-32,79958061233973
32728;386239;ANGLO AMERICAN SUR S.A.;ANGLO AMERICAN SUR S.A.;Fundiciones de cobre;Fundición de metales no ferrosos;Fundición de metales no ferrosos;Valparaíso;San Felipe de Aconcagua;Catemu;316996,0;6369240,0;19,0;HR-PPM-7583;Horno de Refino;Gas Natural;0,22189862877386;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,22189862877386;RUEA;-70,95446045686269;-32,79958061233973
32729;386239;ANGLO AMERICAN SUR S.A.;ANGLO AMERICAN SUR S.A.;Fundiciones de cobre;Fundición de metales no ferrosos;Fundición de metales no ferrosos;Valparaíso;San Felipe de Aconcagua;Catemu;316996,0;6369240,0;19,0;HR-PPM-7583;Horno de Refino;Gas Natural;0,22189862877386;Petróleo N 2 (Diesel);0,0;0,0;PM, primary;0,22189862877386;RUEA;-70,95446045686269;-32,79958061233973
32733;4587254;TERCIADOS Y ELABORACION DE MADERAS S.A.;TEMSA;Industria de la madera y Silvicultura;Fabricación de hojas de madera para enchapado y tableros a base de madera;Fabricación de hojas de madera para enchapado y tableros a base de madera;Los Ríos;Valdivia;Los Lagos;688134,0;5584236,0;18,0;IN-GEV-21708;Caldera Industrial (Generadora de Vapor o Agua Caliente);Biomasa Combustible;0,22160775636184;Biomasa Combustible;3,1745172213705e-07;0,0;Benzene;0,22160807381356212;RUEA;-72,80021470047701;-39,87107658381166
32744;5441821;SOPESA S A;SOPESA S.A.;Otras industrias manufactureras;Producción de harina de pescado;Elaboración y conservación de pescado, crustáceos y moluscos;Valparaíso;San Antonio;San Antonio;257104,0;6279310,0;19,0;IN-GEV-6490;Caldera Industrial (Generadora de Vapor o Agua Caliente);Petróleo N 6;0,22130013959443;Petróleo N 5;0,0;0,0;Carbon monoxide;0,22130013959443;RUEA;-71,61761533323985;-33,598305755560496
32756;5441921;BLUMAR S.A.;BLUMAR SAN VICENTE;Otras industrias manufactureras;Producción de harina de pescado;Elaboración y conservación de pescado, crustáceos y moluscos;Biobío;Concepción;Talcahuano;666985,0;5934045,0;18,0;IN-GEV-16846;Caldera Industrial (Generadora de Vapor o Agua Caliente);Petróleo N 6;0,22086301925043;Gas Natural;0,0;0,0;PM2.5, primary;0,22086301925043;RUEA;-73,13007675686777;-36,72462887808324
32761;85823;AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Valparaíso;Puchuncaví;267718,0;6373424,0;19,0;CG-GEV-9441;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;0,0;Petróleo N 2 (Diesel);0,22079563996214;0,0;PM10, primary;0,22079563996214;RUEA;-71,47931608290604;-32,75255770981258
32762;1510;ELIAS CASSIS S A;ELIAS CASSIS S.A.;Otras industrias manufactureras;Tejedura de productos textiles;Tejedura de productos textiles;Metropolitana de Santiago;Santiago;Ñuñoa;349370,0;6294894,0;19,0;CA-OR-27518;Caldera Agua Caliente;Gas Natural;0,22077210348714;Gas Natural;0,0;0,0;Carbon monoxide;0,22077210348714;RUEA;-70,6211220645353;-33,4748460942007
32763;1510;ELIAS CASSIS S A;ELIAS CASSIS S.A.;Otras industrias manufactureras;Tejedura de productos textiles;Tejedura de productos textiles;Metropolitana de Santiago;Santiago;Ñuñoa;349370,0;6294894,0;19,0;CA-OR-27519;Caldera Agua Caliente;Gas Natural;0,22077210348714;Gas Natural;0,0;0,0;Carbon monoxide;0,22077210348714;RUEA;-70,6211220645353;-33,4748460942007
32764;3006;EMPRESAS CAROZZI S A;PLANTA AGROZZI TENO;Otras industrias manufactureras;Elaboración y conservación de frutas, legumbres y hortalizas;Elaboración y conservación de frutas, legumbres y hortalizas;Maule;Curicó;Teno;304204,0;6138665,0;19,0;IN-GEV-17998;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,22070902754554;Petróleo N 6;0,0;0,0;Volatile organic compounds (VOC);0,22070902754554;RUEA;-71,14225762327561;-34,87554345668377
